iter	Logloss
341	0.230644814
342	0.2305869778
343	0.2305335118
344	0.230454997
345	0.2302240524
346	0.2301575145
347	0.2300941469
348	0.2300202727
349	0.2296507241
350	0.2294884103
351	0.2294063765
352	0.2293612263
353	0.2292755538
354	0.2292226139
355	0.2291767649
356	0.228965287
357	0.2289033523
358	0.2288350416
359	0.2287090543
360	0.2286519325
361	0.2285957339
362	0.2285485784
363	0.2285016512
364	0.2284545235
365	0.2283954432
366	0.228312958
367	0.2282452603
368	0.2280626614
369	0.227962077
370	0.2277936615
371	0.2277229172
372	0.2276673647
373	0.2275084967
374	0.2274450153
375	0.227405607
376	0.2273631062
377	0.2272950108
378	0.2272375231
379	0.2271478037
380	0.2270941108
